"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"4000","主として管理事務を行う本社等","主としてインターネット附随サービス業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，営業支援・特定顧客管理，調査・研究開発，生産・プロジェクト管理，支社・支店等の管理，不動産管理，情報システム管理，保有資機材の管理，契約，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"4009","その他の管理，補助的経済活動を行う事業所","主としてインターネット附随サービス業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を提供する事業所をいう。
"
"401","インターネット附随サービス業",""
"4011","ポータルサイト・サーバ運営業","主としてインターネットを通じて，情報の提供や，サーバ等の機能を利用させるサービスを提供する事業所であって，他に分類されないものをいう。
広告の提供を目的とするものや，サーバ等の機能を主として他の事業の目的のために利用させるものは，本分類には含まれない。
"
"4012","アプリケーション・サービス・コンテンツ・プロバイダ","主としてインターネットを通じて，音楽，映像等を配信する事業を行う事業所であって，他に分類されないものをいう。
"
"4013","インターネット利用サポート業","主としてインターネットを通じて，インターネットを利用する上で必要なサポートサービスを提供する事業所をいう。
"
"41","映像・音声・文字情報制作業","総　　　説
　この中分類には，映画，ビデオ，又はテレビジョン番組の制作・配給を行う事業所，レコード又はラジオ番組の制作を行う事業所，新聞の発行又は書籍，定期刊行物などの出版を行う事業所並びにこれらに附帯するサービスを提供する事業所が分類される。
"
"410","管理，補助的経済活動を行う事業所（41映像・音声・文字情報制作業）",""
"4100","主として管理事務を行う本社等","主として映像・音声・文字情報制作業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，契約，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"4109","その他の管理，補助的経済活動を行う事業所","主として映像・音声・文字情報制作業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を提供する事業所をいう。
"
"411","映像情報制作・配給業",""
"4111","映画・ビデオ制作業（テレビジョン番組制作業，アニメーション制作業を除く）","主として映画（アニメーションを除く）の制作を行う事業所又は制作及び配給の両者を行う事業所並びに記録物，創作物などのビデオ制作（アニメーションを除く）を行う事業所をいう。
"
"4112","テレビジョン番組制作業（アニメーション制作業を除く）","主としてテレビジョン番組（アニメーションを除く）の制作を行う事業所をいう。
"
"4113","アニメーション制作業","主としてアニメーションの制作を行う事業所をいう。
"
